,Name,Material,Color,Price,Size,URL,Image,Brand_name,Description
49,The Paul | Off White,"{'OCS Certified Organic Cotton': '74%', 'Refibra™ X Tencel ™ Lyocell': '26%'}",['off white'],"('USD', '88')","['XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-paul-off-white,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish5faed2bad5c6985faed2bad5d92.708875245faed2bad5d92.jpg?v=1614363542,Boyish Jeans,"['Around the house or out and about. The Paul in Off White is a slim tapered sweatpant with an elastic drawstring waist, made from the softest and most sustainable terry fabric. Pair this pant with our Jimmy or Joni sweatshirt for the full cozy Boyish look.\nThis classic staple includes OCS Certified organic cotton and REFIBRA™ Technology, reducing its carbon footprint and reducing water usage. REFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste sweatpant will be your new favorite second skin.Front Rise: 11 1/4""Inseam: 28""Leg Opening: 11 1/2""']"
50,The Joe | The General,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['the general'],"('USD', '138')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-joe-the-general,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish6074c222cc55396074c222cc6e3.729416206074c222cc6e3.jpg?v=1618264834,Boyish Jeans,"['Ready for an adventure. The Joe dress includes safari patch pockets, short sleeves, and a tie belt to cinch the waist, perfect for Spring. It comes in a light indigo wash and includes recycled cotton, reducing its carbon footprint and water usage.\nHigh Point Shoulder to Hem: 34""Chest: 36""Sweep: 42""']"
51,The Charley | Far Country,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '43%', 'Refibra ™ X Tencel ™ Lyocell': '40%'}",['far country'],"('USD', '188')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-charley-far-country,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60ae9b29051cc660ae9b2906d3e.1553123860ae9b2906d3e.jpg?v=1622055975,Boyish Jeans,"['Back in time. Here is our take on rigid high waisted wide leg jeans. The Charley comes in a medium blue eco wash with a raw hem. These upcycled jeans include GRS certified recycled cotton and\xa0REFIBRA™\xa0Technology, reducing its carbon footprint and reducing water usage.\nREFIBRA™\xa0Technology takes fashion industry scraps and recycles the waste, which is then blended in with\xa0TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste jean will be your new favorite second skin.\nFront Rise: 12 3/4""Inseam: 29""Leg Opening: 21""Button Fly']"
52,The Casey | Unfaithfully Yours,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '43%', 'Refibra ™ X Tencel ™ Lyocell': '40%'}",['unfaithfully yours'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-casey-unfaithfully-yours,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish606223e2293b40606223e22959b.68494553606223e22959b.jpg?v=1620806280,Boyish Jeans,"['Perfectly imperfect. The Casey is a twist on your favorite vintage jeans. This high waisted rigid straight jean has a relaxed fit and an asymmetrical fly and comes in a medium blue eco wash with destruction. These upcycled jeans include GRS certified recycled cotton and REFIBRA™ Technology, reducing its carbon footprint and reducing water usage.\nREFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste jean will be your new favorite second skin.\nFront Rise: 11 1/4""Inseam: 32""Leg Opening: 14 1/2""Button Fly']"
53,The Milo | Like Crazy,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['like crazy'],"('USD', '88')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-milo-like-crazy,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish607a1c4ebf1006607a1c4ebf404.90019827607a1c4ebf404.jpg?v=1618615452,Boyish Jeans,"['Suit up in Boyish. The Milo in Like Crazy is a cropped denim vest that comes in a medium dark eco wash with novelty buttons in front and is easily layerable with a classic turtleneck or button-up shirt. Pair with the Julian and Liam in Like Crazy for a full 3-piece denim suit look. This upcycled vest is made with recycled cotton, reducing its carbon footprint and water usage.\nHigh Point Shoulder to Hem: 16 1/4""Chest: 35 1/2""Sweep: 30""']"
54,The Julian | Like Crazy,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['like crazy'],"('USD', '248')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-julian-like-crazy,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish609da935772dc1609da93577643.72722876609da93577643.jpg?v=1620945378,Boyish Jeans,"['Suit up in Boyish. The versatile Julian blazer in Like Crazy is a closet staple that comes in a medium dark eco wash with novelty buttons in front and on the sleeves. Pair with the Liam and Milo in Like Crazy for a full 3-piece denim suit look. This upcycled blazer is made with recycled cotton, reducing its carbon footprint and water usage. \nHigh Point Shoulder to Hem: 28 1/4""Chest: 37""Sweep: 43""']"
55,The Liam | Like Crazy,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['like crazy'],"('USD', '188')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-liam-like-crazy,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60ad6503da94c260ad6503dac77.7172799160ad6503dac77.jpg?v=1621976454,Boyish Jeans,"['Suit up in Boyish. The Liam in Like Crazy is a high-rise relaxed pleated trouser that comes in a medium dark eco wash with novelty buttons in front and unique chino details. Pair with the Julian and Milo in Like Crazy for a full 3-piece denim suit look. This upcycled trouser is made with recycled cotton, reducing its carbon footprint and water usage. \nFront Rise: 13 1/2""Inseam: 33""Leg Opening: 19""Zipper Fly']"
56,The Leon | Like Crazy,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['like crazy'],"('USD', '108')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-leon-like-crazy,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish609eb90e70c294609eb90e70e34.41721123609eb90e70e34.jpg?v=1621014899,Boyish Jeans,"['From work to play and anywhere in between. The Leon in Like Crazy is a high-rise pleated short with a novelty belt detail and wide relaxed leg that keeps it elevated yet comfy.\nPair this short with the Julian and Milo for a full 3-piece denim suit look. This upcycled piece is made with recycled cotton, reducing its carbon footprint and water usage.\nFront Rise: 13 3/4""Inseam: 4 1/2""Leg Opening: 26""Zipper Fly']"
57,The Tommy | Vintage White,"{'OCS Certified Organic Cotton': '60%', 'Tencel ™ Lyocell': '40%'}",['vintage white'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-tommy-vintage-white,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish6063ec4e4b1aa56063ec4e4b2e8.182157636063ec4e4b2e8.jpg?v=1617161534,Boyish Jeans,"['Classic straight leg. The Tommy in Vintage White is a high waisted rigid straight jean in a classic white wash. These upcycled jeans include OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 10 3/4""Inseam: 27""Leg Opening: 14 1/2""Button Fly']"
58,The Billy Stretch | Eternal Sunshine,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '38%', 'Tencel ™ Lyocell': '44%', 'Recycled Elastane': '1%'}",['eternal sunshine'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-billy-stretch-eternal-sunshine,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60621e206169c160621e206185f.6579974860621e206185f.jpg?v=1620932705,Boyish Jeans,"['The classic vintage skinny you love, this time with stretch. The Billy Stretch in Eternal Sunshine is a high rise skinny jean in a light blue eco wash that is a staple for any closet.\nThis jean includes OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 11 1/4""Inseam: 29""Leg Opening: 11 1/2""Button Fly']"
