20211119zaraBg Ct Jckt 07,tex_wool_40,Shell,53%
20211119zaraBg Ct Jckt 07,tex_poly_25,Shell,29%
20211119zaraBg Ct Jckt 07,tex_nylo_20,Shell,11%
20211119zaraBg Ct Jckt 07,other,Shell,7%
20211119zaraBgCtJckt07,tex_wool_40,Shell,53%
20211119zaraBgCtJckt07,tex_poly_25,Shell,29%
20211119zaraBgCtJckt07,tex_nylo_20,Shell,11%
20211119zaraBgCtJckt07,other,Shell,7%
20211119zaraCblsDrss07,tex_acry_1,Shell,72%
20211119zaraCblsDrss07,tex_wool_40,Shell,20%
20211119zaraCblsDrss07,tex_nylo_20,Shell,8%
20211119zaraCrpKnt07,tex_wool_40,Shell,100%
20211119zaraMltrTrsr07,tex_cott_6,Shell,100%
20211119zaraMltrDrss07,tex_cott_6,Shell,99%
20211119zaraMltrDrss07,tex_elas_10,Shell,1%
20211119zaraCcnKnt07,tex_wool_40,Shell,100%
20211119zaraMxShrlngBkr07,tex_poly_25,Shell,55%
20211119zaraMxShrlngBkr07,tex_wool_40,Shell,45%
20211119zaraMxShrlngBkr07,tex_poly_25,Secondary fabric,100%
20211119zaraMxShrlngBkr07,tex_visc_36,Lining,100%
20211119zaraMxShrlngVst07,tex_poly_25,Shell,66%
20211119zaraMxShrlngVst07,tex_wool_40,Shell,30%
20211119zaraMxShrlngVst07,tex_acry_1,Shell,2%
20211119zaraMxShrlngVst07,tex_nylo_20,Shell,2%
20211119zaraMxShrlngVst07,tex_nylo_20,Secondary fabric,8%
20211119zaraMxShrlngVst07,tex_poly_25,Secondary fabric,44%
20211119zaraMxShrlngVst07,tex_wool_40,Secondary fabric,44%
20211119zaraMxShrlngVst07,tex_acry_1,Secondary fabric,4%
20211119zaraMxShrlngVst07,tex_poly_25,Lining,100%
20211119zaraMxShrlngPrkr07,tex_poly_25,Shell,100%
20211119zaraMxShrlngPrkr07,tex_cott_6,Secondary fabric,100%
20211119zaraMxShrlngPrkr07,tex_poly_25,Lining,100%
20211119zaraMxShrlngPrkr07,tex_poly_25,Padding,100%
20211119zaraLthrDrss07,tex_visc_36,Shell,70%
20211119zaraLthrDrss07,tex_wool_40,Shell,30%
20211119zaraCblsSwtr07,tex_acry_1,Shell,72%
20211119zaraCblsSwtr07,tex_wool_40,Shell,20%
20211119zaraCblsSwtr07,tex_nylo_20,Shell,8%
20211119zaraSnkTrnch07,tex_cott_6,Shell,100%
20211119zaraSnkTrnch07,tex_poly_33,Coating,100%
20211119zaraSnkTrnch07,tex_wool_40,Lining,80%
20211119zaraSnkTrnch07,tex_nylo_20,Lining,20%
20211119zaraMxShrlngPrkr07,tex_acry_1,Shell,52%
20211119zaraMxShrlngPrkr07,tex_acry_1,Shell,31%
20211119zaraMxShrlngPrkr07,tex_poly_25,Shell,17%
20211119zaraMxShrlngPrkr07,tex_poly_25,Lining,54%
20211119zaraMxShrlngPrkr07,tex_visc_36,Lining,46%
20211119zaraTnckSwtr07,tex_wool_40,Shell,100%
20211119zaraPrntDrss07,tex_visc_36,Shell,100%
20211119zaraWlNylnPffr07,tex_poly_25,Shell,100%
20211119zaraWlNylnPffr07,tex_wool_40,Upper,78%
20211119zaraWlNylnPffr07,tex_visc_36,Upper,22%
20211119zaraWlNylnPffr07,tex_poly_25,Lower,100%
20211119zaraWlNylnPffr07,tex_poly_25,Padding,100%
