,Name,Material,Color,Price,URL,Image,Brand_name,Description,Category
33,Long Sleeve Skivvy,{'Organic Cotton': '100%'},undyed,"('AUD', '90')",https://abch.world/products/organic-cotton-long-sleeve-skivvy-undyed,https://cdn.shopify.com/s/files/1/1637/8509/products/A14-LS-Undyed-Skivvy_A07-Black-Dress-FrontSML-cropped.jpg?v=1603279100,A.BCH,"['Drama club sans the drama. The A.14 is a fan favourite for its timeless appeal and flattering cut. The long sleeve skivvy is cosy with a relaxed fit and raw hems - perfect for layering. Made from our signature organic, softly structured rib in Undyed.']",['skivvy']
34,Everyday Joggers,{'Organic Cotton': '100%'},black,"('AUD', '240')",https://abch.world/products/unisex-everyday-joggers-organic-cotton-black-mens,https://cdn.shopify.com/s/files/1/1637/8509/products/A09-Sweater-Grey-Marle-Front-A32-OC-Jogger-Front-3jpgwebh.jpg?v=1602674079,A.BCH,"['Comfy, cool and oh-so-cosy, the Everyday Joggers are constructed from our signature organic cotton french terry. The unisex cut is slightly dropped through the crotch so they can be worn on the waist or hips. Featuring a biodegradable elasticated waistband, false fly front and double cord drawstring.']",['joggers']
35,Everyday Joggers,{'Organic Cotton': '100%'},black,"('AUD', '240')",https://abch.world/products/unisex-every-day-jogger-black-organic-cotton,https://cdn.shopify.com/s/files/1/1637/8509/products/A13-Stone-Crop_A32-Jogger-OC-Terry-Front-2SML.jpg?v=1605211818,A.BCH,"['Comfy, cool and oh-so-cosy, the Everyday Joggers are constructed from our signature organic cotton french terry. The unisex cut is slightly dropped through the crotch so they can be worn on the waist or hips, with a biodegradable elasticated waistband and double cord drawstring.']",['joggers']
36,Linen Joggers,{'Organic Linen': '100%'},black,"('AUD', '310')",https://abch.world/products/organic-linen-joggers-black-unisex,https://cdn.shopify.com/s/files/1/1637/8509/products/A15-Fan-Grey-Crop_A32-Jogger-OL-Black-Front-2SML.jpg?v=1602660699,portrait-large,"['Constructed from our signature, medium weight organic linen, these joggers are an elevated take on trans-seasonal comfort. The unisex cut is slightly dropped through the crotch allowing them to be worn high on the waist or lower on the hips and feature an elastic waistband (biodegradable, naturally) and double cord drawstring.']",['joggers']
37,Fleecy Crop Sweater,{'Organic Cotton': '100%'},undyed,"('AUD', '125')",https://abch.world/products/organic-cotton-fleecy-crop-sweater-undyed,https://cdn.shopify.com/s/files/1/1637/8509/products/A33-Undyed-Crop_A35-Undyed-Tracksuit-Front-2-Cropped-SML.jpg?v=1601513039,A.BCH,"[""Extra cosy, made from a brushed fleecy organic cotton terry that's incredibly warm and soft. A cropped cut with plenty of length in the sleeve, with a wide rib cuff and neckband. This sweater is also completely un-dyed, right down to the threads, and is perfect for sensitive skin or allergies to synthetics.""]",['sweater']
38,A.BCH Dust Mask,{'Organic Cotton': '100%'},sage,"('AUD', '33')",https://abch.world/products/abch-organic-cotton-dust-mask-1,https://cdn.shopify.com/s/files/1/1637/8509/products/Mask_2_Sage_Front.jpg?v=1608957668,A.BCH,"[""Our 2 ply 100% organic cotton mask is crafted from a thick, rib outer and light jersey inner. We feel it's the right balance of coverage and breathability for extended wear for civilian/ community protection. Ties comfortably around the head, taking pressure off the ears and finished with a bendable wire nose.""]",['dust mask']
39,Fleecy Crop Sweater,{'Organic Cotton': '100%'},sage,"('AUD', '125')",https://abch.world/products/organic-cotton-fleecy-sweater-cropped-sage,https://cdn.shopify.com/s/files/1/1637/8509/products/A33-Crop-Sage_A14-Dress-LS-Sage-Front-CroppedSML_03e4a07a-83aa-4bf9-bf0a-5ab66bced33f.jpg?v=1601513425,A.BCH,"[""Extra cosy, made from a brushed fleecy organic cotton terry that's incredibly warm and soft. A classic cut, plenty of length in the body and sleeve, with a wide rib cuff and neckband.""]",['sweater']
40,Fleecy Sweater,{'Organic Cotton': '100%'},undyed,"('AUD', '135')",https://abch.world/products/organic-cotton-fleecey-sweater-classic-undyed,https://cdn.shopify.com/s/files/1/1637/8509/products/A33-Classic-Undyed_A14-Dress-NS-Black-Front-2SML_1bcc99e1-43b4-450b-bc9b-17efa534b9c6.jpg?v=1601513514,A.BCH,"[""Extra cosy, made from a brushed fleecy organic cotton terry that's incredibly warm and soft. A classic cut, plenty of length in the body and sleeve, with a wide rib cuff and neckband. This sweater is also completely un-dyed, right down to the threads, and is perfect for sensitive skin or allergies to synthetics.""]",['sweater']
41,Fleecy Sweater,{'Organic Cotton': '100%'},undyed,"('AUD', '135')",https://abch.world/products/organic-cotton-fleecy-sweater-classic-mens-undyed,https://cdn.shopify.com/s/files/1/1637/8509/products/A33-Sweater-Undyed-A32-Linen-Sidejpgwebay.jpg?v=1602674513,A.BCH,"[""Extra cosy, made from a brushed fleecy organic cotton terry that's incredibly warm and soft. A classic cut, plenty of length in the body and sleeve, with a wide rib cuff and neckband. This sweater is also completely un-dyed, right down to the threads, and is perfect for sensitive skin or allergies to synthetics.""]",['sweater']
42,Bolt Plaid Scarf,{'Organic Cotton': '100%'},black/ beige plaid,"('AUD', '210')",https://abch.world/products/a-26,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH-Look-11-TS2020-Detail2.jpg?v=1601515671,A.BCH,['The Bolt Plaid Scarf in beige and black. Versatile and classic with a stabilised raw hem finish. The fabric is a luxurious reversible organic cotton gauze milled to perfection in Japan and the perfect feature to any minimalist outfit.'],['scarf']
