high_level,low_level,part,component_significance,component_value_percentage
shirts,Bandeau Tops,Collar,Tertiary,0%
shirts,Bandeau Tops,Wing Lining,Tertiary,0%
shirts,Bandeau Tops,Details,Tertiary,5%
shirts,Bandeau Tops,Lower,Secondary,50%
shirts,Bandeau Tops,Lining and Insole,Tertiary,20%
shirts,Bandeau Tops,Other,Tertiary,5%
shirts,Bandeau Tops,Back,Secondary,50%
shirts,Bandeau Tops,Neck Lining,Tertiary,0%
shirts,Bandeau Tops,Gusset Lining,Tertiary,0%
shirts,Bandeau Tops,Wing,Tertiary,0%
shirts,Bandeau Tops,All,Main,100%
shirts,Bandeau Tops,Reverse,Secondary,50%
shirts,Bandeau Tops,Strap,Tertiary,0%
shirts,Bandeau Tops,Obverse,Secondary,50%
shirts,Bandeau Tops,Secondary fabric,Tertiary,10%
shirts,Bustier Tops,Padding,Tertiary,15%
shirts,Bustier Tops,Cup Lining,Tertiary,10%
shirts,Bustier Tops,Shell,Main,100%
shirts,Bustier Tops,Net,Tertiary,5%
shirts,Bustier Tops,Upper,Secondary,50%
shirts,Bustier Tops,Lining,Tertiary,30%
shirts,Bustier Tops,Cuff,Tertiary,0%
shirts,Bustier Tops,Frill,Tertiary,5%
shirts,Bustier Tops,Panels,Tertiary,20%
shirts,Bustier Tops,Coating,Tertiary,5%
shirts,Bustier Tops,Cup Lace,Tertiary,10%
shirts,Bustier Tops,Lace,Tertiary,10%
shirts,Bustier Tops,Elastic Section,Tertiary,10%
shirts,Bustier Tops,Pocket Lining,Tertiary,0%
shirts,Bustier Tops,Mesh,Tertiary,5%
shirts,Bustier Tops,Sleeve,Tertiary,0%
shirts,Bustier Tops,Hood Lining,Tertiary,0%
shirts,Bustier Tops,Embroidery,Tertiary,10%
shirts,Bustier Tops,Front,Secondary,50%
shirts,Bustier Tops,Sole,Tertiary,0%
shirts,Bustier Tops,Collar,Tertiary,0%
shirts,Bustier Tops,Wing Lining,Tertiary,0%
shirts,Bustier Tops,Details,Tertiary,5%
shirts,Bustier Tops,Lower,Secondary,50%
shirts,Bustier Tops,Lining and Insole,Tertiary,30%
shirts,Bustier Tops,Other,Tertiary,5%
shirts,Bustier Tops,Back,Secondary,50%
shirts,Bustier Tops,Neck Lining,Tertiary,0%
shirts,Bustier Tops,Gusset Lining,Tertiary,10%
shirts,Bustier Tops,Wing,Tertiary,10%
shirts,Bustier Tops,All,Main,100%
shirts,Bustier Tops,Reverse,Secondary,50%
shirts,Bustier Tops,Strap,Tertiary,10%
shirts,Bustier Tops,Obverse,Secondary,50%
shirts,Bustier Tops,Secondary fabric,Tertiary,10%
shirts,Crop Tops,Padding,Tertiary,15%
shirts,Crop Tops,Cup Lining,Tertiary,5%
shirts,Crop Tops,Shell,Main,100%
shirts,Crop Tops,Net,Tertiary,5%
shirts,Crop Tops,Upper,Secondary,50%
shirts,Crop Tops,Lining,Tertiary,20%
shirts,Crop Tops,Cuff,Tertiary,5%
shirts,Crop Tops,Frill,Tertiary,5%
shirts,Crop Tops,Panels,Tertiary,20%
shirts,Crop Tops,Coating,Tertiary,5%
shirts,Crop Tops,Cup Lace,Tertiary,5%
shirts,Crop Tops,Lace,Tertiary,10%
shirts,Crop Tops,Elastic Section,Tertiary,5%
shirts,Crop Tops,Pocket Lining,Tertiary,5%
shirts,Crop Tops,Mesh,Tertiary,5%
shirts,Crop Tops,Sleeve,Tertiary,15%
shirts,Crop Tops,Hood Lining,Tertiary,0%
shirts,Crop Tops,Embroidery,Tertiary,10%
shirts,Crop Tops,Front,Secondary,50%
shirts,Crop Tops,Sole,Tertiary,0%
shirts,Crop Tops,Collar,Tertiary,10%
shirts,Crop Tops,Wing Lining,Tertiary,5%
shirts,Crop Tops,Details,Tertiary,5%
shirts,Crop Tops,Lower,Secondary,50%
shirts,Crop Tops,Lining and Insole,Tertiary,20%
shirts,Crop Tops,Other,Tertiary,5%
shirts,Crop Tops,Back,Secondary,50%
shirts,Crop Tops,Neck Lining,Tertiary,5%
shirts,Crop Tops,Gusset Lining,Tertiary,0%
shirts,Crop Tops,Wing,Tertiary,10%
shirts,Crop Tops,All,Main,100%
shirts,Crop Tops,Reverse,Secondary,50%
shirts,Crop Tops,Strap,Tertiary,0%
shirts,Crop Tops,Obverse,Secondary,50%
shirts,Crop Tops,Secondary fabric,Tertiary,10%
shirts,Long Sleeve Buttondowns,Hood,Tertiary,15%
shirts,Long Sleeve Buttondowns,Padding,Tertiary,15%
shirts,Long Sleeve Buttondowns,Cup Lining,Tertiary,5%
shirts,Long Sleeve Buttondowns,Shell,Main,100%
shirts,Long Sleeve Buttondowns,Net,Tertiary,5%
shirts,Long Sleeve Buttondowns,Upper,Secondary,50%
shirts,Long Sleeve Buttondowns,Lining,Tertiary,30%
shirts,Long Sleeve Buttondowns,Cuff,Tertiary,5%
shirts,Long Sleeve Buttondowns,Frill,Tertiary,5%
shirts,Long Sleeve Buttondowns,Panels,Tertiary,20%
shirts,Long Sleeve Buttondowns,Coating,Tertiary,5%
shirts,Long Sleeve Buttondowns,Cup Lace,Tertiary,5%
shirts,Long Sleeve Buttondowns,Lace,Tertiary,10%
shirts,Long Sleeve Buttondowns,Elastic Section,Tertiary,5%
shirts,Long Sleeve Buttondowns,Pocket Lining,Tertiary,5%
shirts,Long Sleeve Buttondowns,Mesh,Tertiary,5%
shirts,Long Sleeve Buttondowns,Sleeve,Tertiary,20%
shirts,Long Sleeve Buttondowns,Hood Lining,Tertiary,10%
shirts,Long Sleeve Buttondowns,Embroidery,Tertiary,10%
shirts,Long Sleeve Buttondowns,Front,Secondary,50%
shirts,Long Sleeve Buttondowns,Sole,Tertiary,5%
shirts,Long Sleeve Buttondowns,Collar,Tertiary,10%
shirts,Long Sleeve Buttondowns,Wing Lining,Tertiary,5%
shirts,Long Sleeve Buttondowns,Details,Tertiary,5%
shirts,Long Sleeve Buttondowns,Lower,Secondary,50%
shirts,Long Sleeve Buttondowns,Lining and Insole,Tertiary,30%
shirts,Long Sleeve Buttondowns,Other,Tertiary,5%
shirts,Long Sleeve Buttondowns,Back,Secondary,50%
shirts,Long Sleeve Buttondowns,Neck Lining,Tertiary,5%
shirts,Long Sleeve Buttondowns,Gusset Lining,Tertiary,5%
shirts,Long Sleeve Buttondowns,Wing,Tertiary,10%
shirts,Long Sleeve Buttondowns,All,Main,100%
shirts,Long Sleeve Buttondowns,Reverse,Secondary,50%
shirts,Long Sleeve Buttondowns,Strap,Tertiary,0%
shirts,Long Sleeve Buttondowns,Obverse,Secondary,50%
shirts,Long Sleeve Buttondowns,Secondary fabric,Tertiary,10%
shirts,Short Sleeve Buttondowns,Padding,Tertiary,15%
shirts,Short Sleeve Buttondowns,Cup Lining,Tertiary,5%
shirts,Short Sleeve Buttondowns,Shell,Main,100%
shirts,Short Sleeve Buttondowns,Net,Tertiary,5%
shirts,Short Sleeve Buttondowns,Upper,Secondary,50%
shirts,Short Sleeve Buttondowns,Lining,Tertiary,30%
shirts,Short Sleeve Buttondowns,Cuff,Tertiary,5%
shirts,Short Sleeve Buttondowns,Frill,Tertiary,5%
shirts,Short Sleeve Buttondowns,Panels,Tertiary,20%
shirts,Short Sleeve Buttondowns,Coating,Tertiary,5%
shirts,Short Sleeve Buttondowns,Cup Lace,Tertiary,5%
shirts,Short Sleeve Buttondowns,Lace,Tertiary,10%
