,Name,Material,Color,Price,URL,Image,Brand_name,Description,Category
55,ISOSCELES SWIMSUIT BLACK,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '122.00')",https://allsisters.com/products/isosceles-swimsuit-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/ISOSCELES-FRONT-BLACK.png?v=1590569615', 'https://cdn.shopify.com/s/files/1/0827/0589/products/ALL_LB_SS18_01_v2isosceles.jpg?v=1606390450', 'https://cdn.shopify.com/s/files/1/0827/0589/products/ISOSCELESE-BACK-BLACK.png?v=1606390450']",allSisters,"['Classic cut swimsuit with fuller coverage on the front and a beautiful backlessdesign. The cuts are strategically designed to enhance the female figure. An essential basic!', 'Available in black and white.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['swimsuit']
56,BRANCUSI Jumpsuit,"{'recycled polyamide': '78%', 'elastan': '22%'}",,"('EUR', '168.00')",https://allsisters.com/products/brancusi-jumpsuit,"['https://cdn.shopify.com/s/files/1/0827/0589/products/MONO_BRANCUSI.png?v=1583806891', 'https://cdn.shopify.com/s/files/1/0827/0589/products/4_1552c86b-5dbf-429b-9ae6-e9d4ce267c1f.jpg?v=1606387887', 'https://cdn.shopify.com/s/files/1/0827/0589/products/3_fa53caef-4bcd-4220-81f5-d2bea6e7e443.jpg?v=1606387887', 'https://cdn.shopify.com/s/files/1/0827/0589/products/MONO_BRANCUSI_back.png?v=1606387887']",allSisters,"['The simplicity combined with the futuristic inspiration of this design fuse to create a true masterpiece. The cold shoulder design with the subtle cutout strategically placed on the right hand side combined with a sexy open back provides an athletic yet sophisticated look. This piece brings two radically different worlds together; high fashion and sport.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['swimsuit']
57,JEAN ARP Bottom Bathing Suit Black,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '45.00')",https://allsisters.com/products/jean-arp-bottom-bathing-suit-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARPSET.jpg?v=1606393516', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEAN_ARP_BOTTOM_BATHING_SUIT_BLACK.png?v=1606393516', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEAN_ARP_BOTTOM_BATHING_SUIT_BLACK_back.png?v=1606390513']",allSisters,"['Irresistibly sensual! This bikini bottom was designed with the inspiration of abstract art which provides it with its originality; enough to catch any eye. The outstanding cutout on the side provides a unique aerodynamic look that enhances your figure. The low-rise design creates a sensual and elegant finish.', 'Available in black and white', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['bottom']
58,KAPOOR Top Bathing Suit White,"{'recycled polyamide': '78%', 'elastan': '22%'}",['white'],"('EUR', '48.00')",https://allsisters.com/products/kapoor-top-bathing-suit-white,"['https://cdn.shopify.com/s/files/1/0827/0589/products/KAPOOR_TOP_BLANCO.png?v=1590569340', 'https://cdn.shopify.com/s/files/1/0827/0589/products/KAPOORTOP_CARINAEBOTTOM_a6fc5e9f-982b-4dae-98aa-ff4da1afb550.jpg?v=1606390678', 'https://cdn.shopify.com/s/files/1/0827/0589/products/KAPOOR_TOP_BLANCO_back.png?v=1606390678']",allSisters,"['This innovative top inspired by the form of a wave takes swimwear design to a new level. The sporty design uses a distinguishing touch of a patterned hemline that contours the curves of the chest perfectly. This unique design enhances femininity while the racer-back provides extra support for the more active beach days; a combination of the two will be sure to turn all heads on the beach!', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with Econyl® - 100% regenerated polyamide fiber from post-consumer materials.']",['top']
59,KAPOOR Top Bathing Suit Black,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '48.00')",https://allsisters.com/products/kapoor-top-bathing-suit-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/KAPOOR_TOP_BATHING_SUIT_BLACK.png?v=1590569325', 'https://cdn.shopify.com/s/files/1/0827/0589/products/017A5825.jpg?v=1606390652', 'https://cdn.shopify.com/s/files/1/0827/0589/products/KAPOOR_TOP_BATHING_SUIT_BLACK_back.png?v=1606390652', 'https://cdn.shopify.com/s/files/1/0827/0589/products/KAPOORTOP_CARINAEBOTTOM.jpg?v=1606390652']",allSisters,"['This innovative top inspired by the form of a wave takes swimwear design to a new level. The sporty design uses a distinguishing touch of a patterned hemline that contours the curves of the chest perfectly. This unique design enhances femininity while the racer-back provides extra support for the more active beach days; a combination of the two will be sure to turn all heads on the beach!', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
60,HEPWORTH BOTTOM BATHING SUIT,"{'recycled polyamide': '78%', 'elastan': '22%'}",,"('EUR', '45.00')",https://allsisters.com/products/hepworth-bottom-bathing-suit,"['https://cdn.shopify.com/s/files/1/0827/0589/products/HEPWORTH_BRAGUITA.png?v=1583806899', 'https://cdn.shopify.com/s/files/1/0827/0589/products/HEPWORTHSET.jpg?v=1606388923', 'https://cdn.shopify.com/s/files/1/0827/0589/products/HEPWORTH_BRAGUITA_back.png?v=1606388923']",allSisters,"['Double trouble! This multifunctional bikini bottom in low-rise is perfectly adaptable for a sexy look, but if looking for a more comfortable and secure feeling there is the high-waisted option too. With allSisters ́ distinctive touch, the cutouts are placed strategically on one side to provide a flawless design that enhances the female form.  The bicolor format is ideal for mixing and matching.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['bottom']
61,HEPWORTH Top Bathing Suit Black,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '52.00')",https://allsisters.com/products/hepworth-top-bathing-suit-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/HEPWORTH_BLACK_TOP.png?v=1590569051', 'https://cdn.shopify.com/s/files/1/0827/0589/products/HEPWORTHSET_eaf87f21-afcd-419a-b7ba-386a192e5809.jpg?v=1606388951', 'https://cdn.shopify.com/s/files/1/0827/0589/products/HEPWORTH_TOP_BATHING_SUIT_BLACK_back.png?v=1606388951']",allSisters,"['Highlight your athletic spirit with this fantastic black and white minimal sporty top with a strategic cutout at the front and back; the distinctive mark of allSisters. The extra chest support makes it ideal for outdoor sports, in and out of the water, making you feel an unparalleled sensation of comfort and freedom.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
62,JEAN ARP Bottom Bathing Suit White,"{'recycled polyamide': '78%', 'elastan': '22%'}",['white'],"('EUR', '45.00')",https://allsisters.com/products/jean-arp-bottom-bathing-suit-white,"['https://cdn.shopify.com/s/files/1/0827/0589/products/JEAN_ARP_BRAGUITA_BLANC.png?v=1590569257', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARPSET_535b77c2-f41d-4591-8fb6-960d8abee85a.jpg?v=1606390532', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEAN_ARP_BRAGUITA_BLANC_back.png?v=1606390532']",allSisters,"['Irresistibly sensual! This bikini bottom was designed with the inspiration of abstract art which provides it with its originality; enough to catch any eye. The outstanding cutout on the side provides a unique aerodynamic look that enhances your figure. The low-rise design creates a sensual and elegant finish.', 'Available in black and white', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['bottom']
63,JEAN ARP Top Bathing Suit White,"{'recycled polyamide': '78%', 'elastan': '22%'}",['white'],"('EUR', '45.00')",https://allsisters.com/products/jean-arp-top-bathing-suit-white,"['https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARPSET_a3217687-6f38-4319-82dc-ab598368dc64.jpg?v=1606393945', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEAN_ARP_TOP_BATHING_SUIT_WHITE.png?v=1606393945', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_White_Back.png?v=1606393945']",allSisters,"['Simple and timeless! A must have in your swimwear wardrobe. This sexy strap bikini top is an essential piece that gives a sophisticated and minimal look paired with the utmost comfort.  Dynamic cutout that makes this basic top a masterpiece.', 'Available in black and white', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
64,WAVY Top Bathing Suit Black,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '45.00')",https://allsisters.com/products/wavy-top-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/WAVYSET1.jpg?v=1606392469', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_TOP_NEGRO.png?v=1606392469', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVYSET3.jpg?v=1606392469', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_TOP_NEGRO_back.png?v=1606392465']",allSisters,"['This sculpted top is designed to have all eyes on you. The flattering support in an open v-neck gives you a simple and feminine neckline. Black is always a good idea! And if it’s eco-friendly, even better!', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
65,PYRAMID Top Bathing Suit White,"{'recycled polyamide': '78%', 'elastan': '22%'}",['white'],"('EUR', '45.00')",https://allsisters.com/products/pyramid-top-white,"['https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDSET.jpg?v=1590568385', 'https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMID_TOP_BLANCO.png?v=1590568385']",allSisters,"['Asymmetrical white top with exposed shoulder. It will make you hit the shore in a sporty-sleek style. Also ideal for your night looks! Available in black or white. Team it with the Pyramid bottom or rock it with your fav jeans.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
66,PYRAMID Top Bathing Swuit Black,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '45.00')",https://allsisters.com/products/pyramid-top-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMID-TOP-NEGRO.png?v=1590568421', 'https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDSET_d3a99db5-b7d1-42d8-925c-3f377e3c2c64.jpg?v=1590568945']",allSisters,"['Asymmetrical white top with exposed shoulder. It will make you hit the shore in a sporty-sleek style. Also ideal for your night looks! Available in black or white. Team it with the Pyramid bottom or rock it with your fav jeans.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
67,PYRAMID Bottom Bathing Suit White,"{'recycled polyamide': '78%', 'elastan': '22%'}",['white'],"('EUR', '40.00')",https://allsisters.com/products/pyramid-bottom-white,"['https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDSET_72ea1f9f-8769-45da-915f-db90a175d603.jpg?v=1606393677', 'https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDBRAGUITABLANCA_NEW.png?v=1606393677', 'https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDBRAGUITABLANCA.png?v=1606391224', 'https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDSET_e1adac2c-fcb0-45da-9072-4791e19b8478.jpg?v=1594640872']",allSisters,"['Twice as sexy! Minimalist cheeky bottom that will be hard to ignore. Perfect for those who want a little less coverage. Available in black or white. Best worn with the Pyramid top!', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['bottom']
68,PYRAMID Bottom Bathing Suit Black,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '40.00')",https://allsisters.com/products/pyramid-bottom-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDBRAGUITANEGRAback_NEW.png?v=1594640766', 'https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDBRAGUITANEGRA_NEW.png?v=1606393694', 'https://cdn.shopify.com/s/files/1/0827/0589/products/PYRAMIDSET_5135fe73-ee91-4bec-8a05-0653d4240d83.jpg?v=1606393694']",allSisters,"['Twice as sexy! The minimalist cheeky bottom that will be hard to ignore. Perfect for those who want a little less coverage. Available in black or white. Best worn with the Pyramid top!', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['bottom']
69,OLYMPIC Top Bathing Suit Black,"{'recycled polyamide': '78%', 'elastan': '22%'}",['black'],"('EUR', '45.00')",https://allsisters.com/products/olympic-top-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPICTOP_CARINAEBOTTOM.jpg?v=1590568244', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPIC_TOP_NEGRO.png?v=1590568244', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPIC_TOP_NEGRO_back.png?v=1590568242']",allSisters,"['Sporty halter top with contrasting geometric pattern on mock-neck featuring textured print inspired by the art work of Sol Lewitt. The extra coverage in front is contrasted by the cut-out triangle in the back. An athletic option for a good splash! Available in all black, or black or white with a contrasting neck pattern.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
