Name,Material,Color,Size,Price,URL,Image,Brand_name,Description
ZOE SAND,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/zoe-sand,"https://static.wixstatic.com/media/6733fb_447b0507742c4da4937366f23d1c5fe7~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_447b0507742c4da4937366f23d1c5fe7~mv2.jpg",conscious-swimwear,"Zoe bikini top has the perfect high cut – your best friend if you’re looking for something practical with support. With adjustable straps, you will be able to fit it perfectly into your body. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   "
TRIANGLE SAND,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/triangle-sand,"https://static.wixstatic.com/media/6733fb_b1cf2d1fe1b24d368b1795a91581cb2f~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b1cf2d1fe1b24d368b1795a91581cb2f~mv2.jpg",conscious-swimwear,"Triangle bikini top is your go-to essential for summer. It works great for every body type, and its minimalist shape is a tan best friend. Adjustable straps & back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
NALA SAND,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€49.00,https://www.consciousthelabel.com/product-page/nala-sand,"https://static.wixstatic.com/media/6733fb_684d117ff7a44ff2aa109aa2ec380424~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_684d117ff7a44ff2aa109aa2ec380424~mv2.jpg",conscious-swimwear,Nala bikini bottom is the perfect tan friend with its minimalist shape. Adjustable waist. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   
NOAH SAND,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€52.00,https://www.consciousthelabel.com/product-page/noah-sand,"https://static.wixstatic.com/media/6733fb_cee266d0ee5c4b3faad39d3cae002831~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_cee266d0ee5c4b3faad39d3cae002831~mv2.jpg",conscious-swimwear,"Perfectly designed to fit your body like no other, our Noah bottoms have a classic inspired Brazilian minimalist shape. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model wears a size small "
SAINT SAND,"['78% recycled plastic', '22% elastane']",,[],€55.00,https://www.consciousthelabel.com/product-page/saint-sand,"https://static.wixstatic.com/media/6733fb_7caf935435aa450390a2c783202a7434~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_7caf935435aa450390a2c783202a7434~mv2.jpg",conscious-swimwear,"Saint bikini bottom is for the ones who love the elegance of a high waist but don't want to give up on a cute little back as well. For perfect belly tanning, you can fold them when lying down at the beach. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
DIXIE SAND,"['78% recycled plastic', '22% elastane']",,[],€55.00,https://www.consciousthelabel.com/product-page/dixie-sand,"https://static.wixstatic.com/media/6733fb_a60e80e9beb8489aa8c45011fa42c446~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_a60e80e9beb8489aa8c45011fa42c446~mv2.jpg",conscious-swimwear,"Dixie is our classic shape bikini bottom, offering a little extra coverage compared to our other bottoms. All edges are sewn with elastic to keep it in the right place from sunrise to sunset.  Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size smallModel 2 wears a size medium "
SAND SWIMSUIT,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€120.00,https://www.consciousthelabel.com/product-page/sand-swimsuit,"https://static.wixstatic.com/media/6733fb_6151676bf7244964bf91f9da1fe23083~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_6151676bf7244964bf91f9da1fe23083~mv2.jpg",conscious-swimwear,The sand swimsuit was designed to hug your body like no other: it will keep everything in place with its shaping effect. Adjustable straps. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.     
KAYA RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€59.00,https://www.consciousthelabel.com/product-page/kaya-rust,"https://static.wixstatic.com/media/6733fb_fc902f0e79e0457e96abdc1540a23171~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_fc902f0e79e0457e96abdc1540a23171~mv2.jpg",conscious-swimwear,"Kaya bikini top is the next level of basics. Great for the one who needs a very natural push-up effect.  Adjustable back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
OLLIE RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€65.00,https://www.consciousthelabel.com/product-page/ollie-rust,"https://static.wixstatic.com/media/6733fb_2dc4aaf9c55d42aba78688e62379178a~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_2dc4aaf9c55d42aba78688e62379178a~mv2.jpg",conscious-swimwear,"Ollie is our newest addiction. It works perfectly for small and more significant breasts: for small, use it with our padding and have an additional push-up. If you have it bigger, enjoy the extra support from the elastic underneath and the natural lifting effect. This top has adjustable straps and includes removable padding. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
ZOE RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/zoe-rust,"https://static.wixstatic.com/media/6733fb_140ea114d87c4501bf7935597381b64f~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_140ea114d87c4501bf7935597381b64f~mv2.jpg",conscious-swimwear,"Zoe bikini top has the perfect high cut – your best friend if you’re looking for something practical with support. With adjustable straps, you will be able to fit it perfectly into your body. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   "
