material_id,backend_higg,,,,,,,,
tex_poly_32,Polytrimethylene terephthalate (PTT) fabric,polytrimethylene\sterephthalate\s?\(ptt\)\s?fabric,polytrimethylene\s?-?terephthalate,polytrimethylene terephthalate ?\(?p?t?t?\)?,ptt,,,,
tex_poly_33,Polyurethane (PU) fabric,polyurethane\s?\(pu\)\s?fabric,polytrimethylene\s?-?terephthalate,polyurethane ?\(?p?u?\)?,imitation leather,,,,
tex_free_34,Freeflex™ TPU Resin {BASF} for textile,freeflex™\a?tpu\sresin\s?\{basf\}\s?for\stextile,freeflex‚\s?Ñ?¢?,,,,,,
tex_silk_35,Silk fabric,"silk\s?-?,?\s?fabric",silk,,,,,,
tex_visc_36,Viscose/Rayon fabric from wood pulp,viscose ?\/ ?rayon\sfabric\sfrom\swood\spulp,viscose ?\/ ?rayon,viscose,cupro,,,,
tex_visc_37,Viscose/Rayon (Regenerated cellulose) from bamboo,viscose ?\/ ?rayon\s?\(regenerated\scellulose\)\s?from\sbamboo,"bamboo\s?-?,?\s?viscose",bamboo fiber,,,,,
tex_liva_38,Livaeco™ Viscose Staple Fiber {BIRLA},livaeco™\s?viscose\sstaple\sfiber\s?\{birla\},livaeco‚\s?Ñ?¢?\s?viscose,,,,,,
tex_lenz_39,Lenzing™ECOVERO™Viscose,"lenzing™\s?viscose,\s?indonesia",lenzing‚\s?Ñ?¢?\s?viscose,"lenzing\s?,?ecovero\s?,?viscose",,,,,
tex_wool_40,Wool fabric,"wool\s?-?,?\s?fabric",wool,,,,,,
tex_wool_41,"Wool fabric, recycled","wool\s?-?fabric,\s?recycled",recycled\s?-?wool,upcycled\s?-?wool,post-consumer\s?wool,deadstock\s?-?wool,,,
lea_cow _42,Cow leather,"cow\s?-?,?\s?leather",cow ?l?e?a?t?h?e?r?,leather,suede,,,,
lea_goat_43,Goat leather,"goat\s?-?,?\s?leather",goat ?l?e?a?t?h?e?r?,,,,,,
lea_kang_44,Kangaroo leather,"kangaroo\s?-?,?\s?leather",kangaroo ?l?e?a?t?h?e?r?,,,,,,
lea_pig _45,Pig leather,"pig\s?-?,?\s?leather",pig ?l?e?a?t?h?e?r?,,,,,,
lea_plan_46,Plant based leather (Piñatex),plant\s?-?based\s?leather\s?\(piñatex\),plant\s?-?based\s?(leather)?,,,,,,
pla_acry_47,Acrylonitrile butadiene styrene (ABS) plastic,acrylonitrile ?-?butadiene ?-?styrene ?\(?a?b?s?\)? ?(plastic)?,,,,,,,
pla_epox_48,Epoxy plastic,epoxy,epoxy plastic,resin,,,,,
pla_nylo_49,Nylon/Polyamide (PA) plastic,nylon/polyamide ?\(?p?a?\)? ?(plastic)?,,,,,,,
pla_nylo_50,"Nylon, mechanically recycled, for plastic","nylon, mechanically recycled,? ?for plastic",mechanically recycled ?-?nylon,,,,,,
pla_poly_51,Poly(methyl methacrylate) (PMMA) (Acrylic) plastic,poly\(?methyl methacrylate\)? ?\(?pmma\)? ?\(?acrylic\)? ?(plastic)?,,pmma,acrylic,poly\(?methyl methacrylate\)?,,,
pla_poly_52,Polycarbonate (PC) plastic,polycarbonate ?\(?p?c?\)? ?plastic,polycarbonate,,,,,,
pla_poly_53,"Polycarbonate (PC) plastic, recycled","polycarbonate ?\(?p?c?\)? plastic,? recycled",polycarbonate recyled,recycled polycarbonate,,,,,
pla_poly_54,Polyester plastic,polyester\s?plastic,,,,,,,
pla_poly_55,"Polyethylene terephthalate (PET), chemically (methanolysis) recycled, for plastic","polyethylene terephthalate ?\(pet\), chemically \(methanolysis\) recycled, for plastic",,,,,,,
pla_poly_56,"Polyethylene terephthalate (PET) plastic, chemically (BHET) recycled, for plastic","polyethylene terephthalate ?\(pet\)\s?plastic, chemically ?\(bhet\) ?recycled, for plastic",,,,,,,
pla_poly_57,Polyethylene (PE) plastic,polyethylene ?\(?p?e?\)? ?(plastic)?,ethylene vinyl,,,,,,
pla_poly_58,Polylactic Acid (PLA) plastic,polylactic acid ?\(?p?l?a?\)? ?(plastic)?,,,,,,,
pla_poly_59,Polyoxymethylene (POM) plastic,polyoxymethylene ?\(?p?o?m?\)? ?(plastic)?,,,,,,,
pla_poly_60,Polypropylene (PP) plastic,polypropylene ?\(?p?p?\)? ?(plastic)?,,,,,,,
pla_poly_61,"Polypropylene (PP), recycled, for plastic",polypropylene ?-?recycled,"polypropylene \(pp\),? ?recycled, for plastic",recycled ?-?polypropylene ?\(?p?p?\)?,,,,,
pla_poly_62,Polysterene (PS) plastic,polysterene ?\(?p?s?\)? ?(plastic)?,,,,,,,
pla_poly_63,Polytetrafluoroethylene (PTFE) plastic,polytetrafluoroethylene ?\(?p?t?f?e?\)? ?(plastic)?,,,,,,,
pla_poly_64,Polyvinyl Acetate (PVA) plastic,polyvinyl acetate ?\(?p?v?a?\)? ?(plastic)?,,,,,,,
pla_poly_65,Polyvinyl chloride (PVC) plastic,polyvinyl chloride ?\(?p?v?c?\)? ?(plastic)?,,,,,,,
pla_sili_66,Silicone plastic,"silicone\s?-?,?\s?plastic",silicone,,,,,,
pla_ther_67,Thermoplastic Polyurethane (TPU) plastic,thermoplastic polyurethane ?\(?t?p?u?\)? ?(plastic)?,thermoplastic,,,,,,
pla_ther_68,Thermoset polyurethane PU plastic,thermoset,thermoset polyurethane ?p?u? plastic,,,,,,
met_alum_69,Aluminium,aluminium,aluminum,,,,,,
met_bras_70,Brass,brass,,,,,,,
met_chro_71,Chromium,chromium,,,,,,,
met_copp_72,Copper,copper,,,,,,,
met_gold_73,Gold,gold,\sau\s,,,,,,
